,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Women who gave birth,Number,297343,307570,304777,307844,304268,310247,301095,298630,298567,291712,311360
Women who gave birth per 1,000 women of reproductive age (15–44 years),Rate,63.7,64.8,63.3,63.2,61.7,62.3,59.7,58.4,57.7,56.1,60.5
Average maternal age (years),,,,,,,,,,,,
All mothers,Average,30,30.1,30.1,30.2,30.3,30.5,30.6,30.7,30.8,30.9,31.1
First Nations mothers,Average,25.3,25.2,25.3,25.5,25.6,25.9,26,26.2,26.3,26.5,26.7
First time mothers,Average,28.4,28.4,28.6,28.7,28.9,29,29.2,29.3,29.4,29.6,29.7
Maternal age (years),,,,,,,,,,,,
Younger than 25,Per cent,17.5,17.2,16.9,16,15.3,14.4,13.8,13.3,12.7,12.1,11
25–34,Per cent,59.8,60.4,60.9,61.9,62.3,62.7,62.5,62.5,62.3,62.4,62.7
35 and over,Per cent,22.7,22.4,22.3,22.1,22.3,22.8,23.7,24.2,25,25.5,26.3
