State/territory of birth
Maternal age (years),NSW,Vic,Qld,WA,SA(a),Tas,ACT(b),NT,Australia
Mean,31.3,31.8,30.3,31.0,30.9,30.1,31.8,29.5,31.1
Number
Under 20,1357,684,1482,595,286,111,53,201,4769
20–24,8897,5380,8178,3456,1932,800,386,590,29619
25–29,24142,18583,17253,8595,5490,1762,1476,999,78300
30–34,36755,32578,21349,12834,7390,2097,2562,1214,116779
35–39,22080,19384,11757,7284,4001,1044,1563,645,67758
40 and older,4753,4045,2433,1437,810,190,312,133,14113
Not stated,15,7,0,0,0,0,0,0,22
Total,97999,80661,62452,34201,19909,6004,6352,3782,311360
Per cent
Under 20,1.4,0.8,2.4,1.7,1.4,1.8,0.8,5.3,1.5
20–24,9.1,6.7,13.1,10.1,9.7,13.3,6.1,15.6,9.5
25–29,24.6,23.0,27.6,25.1,27.6,29.3,23.2,26.4,25.1
30–34,37.5,40.4,34.2,37.5,37.1,34.9,40.3,32.1,37.5
35–39,22.5,24.0,18.8,21.3,20.1,17.4,24.6,17.1,21.8
40 and older,4.9,5.0,3.9,4.2,4.1,3.2,4.9,3.5,4.5
Not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
